seq,x_local_m,y_local_m,z_m
0,-19.500,-19.500,10.0
1,19.500,-19.500,10.0
2,19.500,-16.500,10.0
3,-19.500,-16.500,10.0
4,-19.500,-13.500,10.0
5,19.500,-13.500,10.0
6,19.500,-10.500,10.0
7,-19.500,-10.500,10.0
8,-19.500,-7.500,10.0
9,19.500,-7.500,10.0
10,19.500,-4.500,10.0
11,-19.500,-4.500,10.0
12,-19.500,-1.500,10.0
13,19.500,-1.500,10.0
14,19.500,1.500,10.0
15,-19.500,1.500,10.0
16,-19.500,4.500,10.0
17,19.500,4.500,10.0
18,19.500,7.500,10.0
19,-19.500,7.500,10.0
20,-19.500,10.500,10.0
21,19.500,10.500,10.0
22,19.500,13.500,10.0
23,-19.500,13.500,10.0
24,-19.500,16.500,10.0
25,19.500,16.500,10.0
26,19.500,19.500,10.0
27,-19.500,19.500,10.0
