Frame,Detection Count
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,1
