Frame,Detection Count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,5
30,5
31,7
32,7
33,8
34,8
35,8
36,8
37,8
38,10
39,10
40,10
41,10
42,10
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,13
58,12
59,14
60,14
61,14
62,14
63,14
64,14
65,14
66,14
67,14
68,14
69,14
70,14
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,12
79,12
80,12
81,12
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,13
93,13
94,14
95,15
96,15
97,14
98,15
99,15
100,17
101,18
102,17
103,17
104,18
105,18
106,17
107,17
108,15
109,14
110,14
111,14
112,14
113,15
114,15
115,15
116,15
117,15
118,15
119,15
120,15
121,15
122,15
123,15
124,15
125,15
126,15
127,13
128,13
129,13
130,13
131,17
132,16
133,16
134,16
135,16
136,16
137,16
138,16
139,15
140,14
141,13
142,14
143,14
144,14
145,15
146,15
147,14
148,14
149,14
150,14
151,14
152,13
153,12
154,12
155,12
156,12
157,13
158,12
159,12
160,12
161,12
162,12
163,12
164,12
165,11
166,11
167,11
168,11
169,11
170,11
171,11
172,10
173,10
174,11
175,11
176,11
177,11
178,12
179,11
180,13
181,13
182,12
183,12
184,12
185,12
186,11
187,11
188,10
189,11
190,12
191,12
192,13
193,12
194,12
195,12
196,13
197,15
198,16
199,18
200,18
201,17
202,15
203,15
204,14
205,14
206,13
207,13
208,14
209,14
210,15
211,14
212,14
213,14
214,14
215,14
216,14
217,12
218,12
219,12
220,13
221,13
222,13
223,12
224,12
225,12
226,11
227,10
228,11
229,9
230,8
231,8
232,8
233,8
234,6
235,6
236,7
237,7
238,7
239,7
240,7
241,8
242,9
243,8
244,8
245,8
246,10
247,8
248,8
249,8
250,8
251,9
252,12
253,15
254,17
255,14
256,15
257,13
258,13
259,13
260,13
261,13
262,14
263,14
264,15
265,15
266,17
267,17
268,16
269,16
270,15
271,14
272,14
273,14
274,14
275,15
276,15
277,14
278,14
279,14
280,14
281,16
282,16
283,16
284,15
285,15
286,16
287,16
288,17
289,19
290,17
291,17
292,16
293,16
294,16
295,16
296,16
297,16
298,15
299,15
300,13
301,13
302,13
303,14
304,14
305,15
306,16
307,15
308,14
309,14
310,13
311,13
312,15
313,15
314,14
315,14
316,15
317,13
318,14
319,14
320,15
321,14
322,14
323,14
324,13
325,14
326,15
327,17
328,17
329,18
330,20
331,19
332,18
333,19
334,19
335,20
336,18
337,18
338,18
339,19
340,19
341,19
342,19
343,17
344,16
345,15
346,14
347,12
348,12
349,12
350,11
351,11
352,11
353,11
354,10
355,10
356,11
357,12
358,11
359,11
360,11
361,11
362,11
363,10
364,10
365,10
366,10
367,10
368,9
369,9
370,10
371,10
372,10
373,10
374,11
375,11
376,11
377,11
378,11
379,13
380,13
381,14
382,15
383,16
384,17
385,18
386,19
387,19
388,18
389,18
390,19
391,19
392,20
393,20
394,20
395,20
396,18
397,18
398,17
399,17
400,18
401,18
402,18
403,18
404,18
405,17
406,17
407,17
408,17
409,17
410,17
411,17
412,17
413,17
414,18
415,18
416,17
417,17
418,17
419,16
420,16
421,15
422,15
423,14
424,14
425,15
426,15
427,15
428,15
429,15
430,15
431,15
432,15
433,15
434,15
435,14
436,14
437,14
438,16
439,16
440,15
441,16
442,16
443,16
444,15
445,17
446,17
447,16
448,17
449,18
450,19
451,19
452,19
453,18
454,18
455,19
456,19
457,19
458,20
459,19
460,19
461,20
462,20
463,20
464,20
465,19
466,18
467,19
468,19
469,19
470,19
471,19
472,19
473,19
474,19
475,20
476,20
477,20
478,20
479,20
480,20
481,19
482,19
483,19
484,18
485,17
486,18
487,18
488,18
489,19
490,19
491,19
492,21
493,18
494,18
495,19
496,18
497,19
498,19
499,20
500,18
501,19
502,18
503,18
504,18
505,20
506,19
507,19
508,18
509,18
510,17
511,17
512,17
513,17
514,17
515,17
516,17
517,17
518,16
519,16
520,16
521,16
522,16
523,16
524,15
525,15
526,15
527,16
528,16
529,15
530,16
531,16
532,16
533,16
534,16
535,16
536,16
537,18
538,18
539,18
540,19
541,21
542,19
543,19
544,19
545,18
546,17
547,17
548,16
549,16
550,16
551,16
552,16
553,17
554,17
555,18
556,18
557,18
558,18
559,18
560,19
561,19
562,19
563,19
564,19
565,18
566,18
567,19
568,18
569,18
570,19
571,18
572,17
573,16
574,15
575,15
576,15
577,16
578,16
579,15
580,15
581,15
582,15
583,15
584,14
585,14
586,14
587,15
588,15
589,13
590,14
591,13
592,13
593,13
594,14
595,14
596,15
597,16
598,15
599,13
600,13
