Frame Number,Motion Objects
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,2
20,2
21,2
22,3
23,3
24,3
25,3
26,3
27,3
28,4
29,4
30,5
31,7
32,7
33,8
34,9
35,11
36,12
37,11
38,11
39,13
40,10
41,10
42,11
43,12
44,11
45,12
46,14
47,14
48,12
49,14
50,15
51,15
52,14
53,13
54,12
55,13
56,13
57,13
58,11
59,12
60,12
61,12
62,12
63,12
64,12
65,11
66,12
67,13
68,15
69,15
70,15
71,15
72,17
73,16
74,17
75,15
76,15
77,15
78,15
79,15
80,17
81,15
82,18
83,19
84,18
85,17
86,19
87,19
88,18
89,19
90,19
91,17
92,19
93,18
94,20
95,19
96,19
97,20
98,22
99,22
100,22
101,21
102,21
103,21
104,22
105,21
106,24
107,22
108,27
109,26
110,24
111,24
112,25
113,25
114,24
115,23
116,24
117,22
118,23
119,25
120,24
121,23
122,19
123,22
124,20
125,18
126,21
127,19
128,21
129,19
130,20
131,20
132,22
133,20
134,21
135,20
136,19
137,20
138,21
139,20
140,20
141,20
142,20
143,18
144,19
145,20
146,20
147,21
148,23
149,23
150,21
151,23
152,22
153,20
154,20
155,20
156,17
157,19
158,20
159,21
160,18
161,19
162,20
163,21
164,21
165,19
166,23
167,19
168,20
169,18
170,22
171,19
172,17
173,21
174,22
175,19
176,17
177,20
178,21
179,20
180,19
181,23
182,23
183,22
184,23
185,23
186,23
187,24
188,22
189,22
190,25
191,25
192,23
193,23
194,23
195,20
196,21
197,22
198,23
199,22
200,25
201,27
202,28
203,25
204,26
205,25
206,26
207,25
208,25
209,24
210,26
211,24
212,25
213,25
214,23
215,21
216,24
217,21
218,20
219,20
220,20
221,20
222,23
223,20
224,22
225,22
226,23
227,21
228,21
229,19
230,18
231,19
232,16
233,19
234,18
235,17
236,18
237,16
238,14
239,15
240,13
241,13
242,13
243,12
244,15
245,14
246,13
247,12
248,14
249,14
250,13
251,14
252,14
253,13
254,14
255,14
256,15
257,15
258,16
259,16
260,18
261,19
262,20
263,21
264,20
265,21
266,20
267,20
268,20
269,19
270,18
271,19
272,19
273,21
274,22
275,21
276,22
277,20
278,20
279,21
280,21
281,23
282,22
283,21
284,19
285,21
286,23
287,22
288,22
289,20
290,21
291,22
292,19
293,18
294,16
295,17
296,17
297,17
298,16
299,17
300,17
301,16
302,17
303,18
304,16
305,15
306,16
307,15
308,14
309,14
310,13
311,12
312,14
313,12
314,13
315,11
316,13
317,11
318,10
319,11
320,10
321,11
322,11
323,11
324,10
325,11
326,11
327,11
328,10
329,8
330,8
331,9
332,9
333,11
334,10
335,10
336,10
337,11
338,10
339,11
340,11
341,11
342,12
343,14
344,14
345,16
346,16
347,16
348,15
349,16
350,16
351,16
352,16
353,16
354,16
355,15
356,15
357,16
358,16
359,13
360,13
361,12
362,13
363,14
364,14
365,14
366,15
367,16
368,15
369,14
370,17
371,16
372,15
373,16
374,14
375,12
376,13
377,14
378,15
379,15
380,14
381,14
382,16
383,17
384,17
385,19
386,17
387,17
388,18
389,17
390,18
391,18
392,21
393,18
394,20
395,20
396,20
397,21
398,19
399,19
400,18
401,19
402,17
403,17
404,17
405,15
406,16
407,18
408,18
409,19
410,20
411,19
412,18
413,19
414,17
415,18
416,18
417,18
418,18
419,20
420,20
421,19
422,18
423,21
424,21
425,23
426,22
427,24
428,23
429,23
430,21
431,23
432,20
433,20
434,21
435,20
436,19
437,18
438,17
439,18
440,17
441,17
442,19
443,18
444,17
445,18
446,19
447,21
448,18
449,19
450,18
451,20
452,17
453,19
454,17
455,18
456,15
457,16
458,16
459,17
460,17
461,17
462,17
463,18
464,16
465,17
466,16
467,17
468,16
469,17
470,16
471,17
472,17
473,16
474,15
475,17
476,14
477,15
478,14
479,14
480,14
481,14
482,14
483,14
484,15
485,16
486,15
487,16
488,15
489,16
490,16
491,16
492,16
493,16
494,16
495,14
496,14
497,15
498,16
499,16
500,16
501,14
502,14
503,13
504,14
505,14
506,13
507,14
508,15
509,13
510,14
511,14
512,15
513,15
514,15
515,15
516,14
517,13
518,14
519,14
520,14
521,14
522,13
523,13
524,13
525,13
526,13
527,11
528,11
529,11
530,11
531,12
532,12
533,12
534,13
535,13
536,13
537,13
538,15
539,16
540,16
541,17
542,17
543,16
544,18
545,18
546,19
547,19
548,18
549,18
550,18
551,18
552,18
553,17
554,22
555,19
556,21
557,20
558,23
559,24
560,24
561,25
562,26
563,26
564,27
565,24
566,25
567,24
568,23
569,23
570,23
571,23
572,22
573,23
574,22
575,23
576,20
577,23
578,21
579,21
580,20
581,20
582,20
583,21
584,21
585,24
586,25
587,23
588,21
589,21
590,24
591,23
592,23
593,22
594,22
595,23
596,23
597,24
598,24
