epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.779,1.54776,1.1762,0.92893,0.33712,0.25275,0.20554,0.11726,1.53136,1.23621,0.92591,0.000237162,0.000237162,0.000237162
2,462.05,1.60016,1.23199,0.93899,0.35753,0.28064,0.2381,0.13274,1.52997,1.18506,0.92393,0.000470458,0.000470458,0.000470458
3,648.083,1.6008,1.2085,0.93386,0.37843,0.28376,0.24087,0.13635,1.52797,1.19114,0.91991,0.000699041,0.000699041,0.000699041
4,820.469,1.58096,1.18723,0.9321,0.38957,0.30015,0.2664,0.1512,1.50011,1.12315,0.91806,0.000692794,0.000692794,0.000692794
5,1017.51,1.55896,1.14463,0.92436,0.42992,0.29737,0.26818,0.14858,1.49782,1.11392,0.9136,0.000685726,0.000685726,0.000685726
6,1195.44,1.55517,1.14312,0.92178,0.3986,0.31093,0.27765,0.15625,1.48422,1.09834,0.91239,0.000678657,0.000678657,0.000678657
7,1370.01,1.53124,1.11092,0.91625,0.4161,0.31921,0.28955,0.16141,1.47896,1.09803,0.90825,0.000671588,0.000671588,0.000671588
8,1537.18,1.52489,1.10699,0.91776,0.40228,0.32387,0.28963,0.16395,1.44666,1.07245,0.90382,0.00066452,0.00066452,0.00066452
9,1720.56,1.51218,1.08477,0.91295,0.43695,0.31634,0.28962,0.16444,1.44981,1.07703,0.9023,0.000657451,0.000657451,0.000657451
10,1900.64,1.49267,1.07004,0.91179,0.42014,0.3241,0.29102,0.16189,1.49156,1.05924,0.90747,0.000650383,0.000650383,0.000650383
11,2086.1,1.50229,1.06521,0.90704,0.46479,0.33887,0.32114,0.18346,1.42546,1.00948,0.89518,0.000643314,0.000643314,0.000643314
12,2265.29,1.48997,1.04873,0.90604,0.42479,0.3381,0.30868,0.17714,1.43447,1.0216,0.89742,0.000636245,0.000636245,0.000636245
13,2435.75,1.47679,1.03279,0.90338,0.44362,0.34142,0.31692,0.17839,1.41867,1.0291,0.89519,0.000629177,0.000629177,0.000629177
14,2612.26,1.46812,1.02814,0.9012,0.44962,0.34495,0.32161,0.18292,1.4244,1.01078,0.89475,0.000622108,0.000622108,0.000622108
15,2783.92,1.47531,1.0241,0.90151,0.45393,0.34492,0.32441,0.18386,1.4189,1.00644,0.8957,0.00061504,0.00061504,0.00061504
16,2970.54,1.4739,1.02303,0.90036,0.46607,0.34817,0.32958,0.1846,1.42924,1.00718,0.89586,0.000607971,0.000607971,0.000607971
17,3145.21,1.45231,0.99937,0.89575,0.45309,0.35381,0.32818,0.18614,1.41124,1.01507,0.89344,0.000600902,0.000600902,0.000600902
18,3313.64,1.46326,1.00393,0.89693,0.46411,0.36228,0.34143,0.19497,1.39392,0.97875,0.8923,0.000593834,0.000593834,0.000593834
19,3481.93,1.4451,0.99321,0.89515,0.47111,0.36499,0.34423,0.1976,1.39299,0.97895,0.89013,0.000586765,0.000586765,0.000586765
20,3649.38,1.43689,0.98202,0.89368,0.46589,0.36065,0.33998,0.19356,1.3982,0.9781,0.88814,0.000579697,0.000579697,0.000579697
21,3835.73,1.4291,0.97275,0.89147,0.46765,0.36475,0.34512,0.19622,1.40161,0.97746,0.89038,0.000572628,0.000572628,0.000572628
22,4002.11,1.42969,0.97178,0.89036,0.47844,0.36726,0.34932,0.19842,1.39532,0.96664,0.8876,0.000565559,0.000565559,0.000565559
23,4177.59,1.43421,0.97525,0.89094,0.48011,0.3667,0.34977,0.19976,1.39686,0.95348,0.8896,0.000558491,0.000558491,0.000558491
24,4353.76,1.44212,0.97458,0.89151,0.48404,0.36709,0.35386,0.20326,1.37326,0.94769,0.88648,0.000551422,0.000551422,0.000551422
25,4543.58,1.42143,0.95657,0.88643,0.47072,0.37771,0.35579,0.20289,1.38016,0.9569,0.88574,0.000544354,0.000544354,0.000544354
26,4709.98,1.41236,0.94955,0.88851,0.48692,0.36761,0.35733,0.20438,1.38112,0.95296,0.88589,0.000537285,0.000537285,0.000537285
27,4876.04,1.40481,0.94336,0.88887,0.48238,0.37934,0.36112,0.20736,1.37166,0.95362,0.88393,0.000530216,0.000530216,0.000530216
28,5042.53,1.40928,0.93505,0.88541,0.49077,0.38302,0.36234,0.20786,1.37132,0.94444,0.88413,0.000523148,0.000523148,0.000523148
29,5211.13,1.41143,0.94119,0.88233,0.48939,0.37912,0.36427,0.20945,1.36145,0.93321,0.88269,0.000516079,0.000516079,0.000516079
30,5377.04,1.40328,0.93758,0.88423,0.48154,0.37901,0.3607,0.2043,1.37818,0.94641,0.88356,0.000509011,0.000509011,0.000509011
31,5544.46,1.39393,0.926,0.88353,0.48114,0.38449,0.36018,0.20654,1.37516,0.95397,0.88307,0.000501942,0.000501942,0.000501942
32,5711.82,1.40041,0.92735,0.88203,0.49283,0.38475,0.36877,0.20883,1.37548,0.93638,0.8847,0.000494873,0.000494873,0.000494873
33,5879.89,1.39692,0.91898,0.88266,0.48598,0.38309,0.36689,0.21134,1.35675,0.93211,0.88088,0.000487805,0.000487805,0.000487805
34,6052,1.39373,0.91514,0.88058,0.49718,0.38493,0.36957,0.21028,1.36464,0.93003,0.88234,0.000480736,0.000480736,0.000480736
35,6222.47,1.38274,0.90664,0.88041,0.49287,0.38698,0.3684,0.21076,1.36259,0.9341,0.88149,0.000473668,0.000473668,0.000473668
36,6391.16,1.38695,0.9045,0.87919,0.49507,0.38233,0.36945,0.21265,1.35797,0.92322,0.88175,0.000466599,0.000466599,0.000466599
37,6565.03,1.39337,0.90321,0.88029,0.49348,0.39242,0.3743,0.21513,1.34976,0.91917,0.8797,0.00045953,0.00045953,0.00045953
38,6752.03,1.37949,0.90367,0.87975,0.49577,0.39364,0.37555,0.21562,1.35256,0.91925,0.8793,0.000452462,0.000452462,0.000452462
39,6918.48,1.36081,0.88506,0.87651,0.50415,0.39052,0.37977,0.21793,1.34416,0.90655,0.87917,0.000445393,0.000445393,0.000445393
40,7094.4,1.3734,0.88971,0.87748,0.51034,0.39158,0.38036,0.21723,1.34887,0.91895,0.8796,0.000438325,0.000438325,0.000438325
